word,emotion,emotion-intensity-score
motherhood,happy,0.5
family,happy,0.5
stressrelief,happy,0.5
achieved,happy,0.5
diamond,happy,0.5
teamjesus,happy,0.5
satisfied,happy,0.5
memorable,happy,0.5
encourage,happy,0.5
veracity,happy,0.5
gem,happy,0.5
baby,happy,0.5
dignity,happy,0.5
defiance,fear,0.5
blob,fear,0.5
towering,fear,0.5
intolerant,fear,0.5
scoff,anger,0.5
possessed,anger,0.5
intractable,anger,0.5
fervor,anger,0.5
delusional,anger,0.5
brunt,anger,0.5
confined,anger,0.5
injustice,anger,0.5
rot,sad,0.5
nauseous,sad,0.5
negative,sad,0.5
aftermath,sad,0.5
aggravating,sad,0.5
evict,sad,0.5
battled,sad,0.5
suppression,anger,0.5
mad,sad,0.5
frenzied,anger,0.5
hammering,anger,0.5
scalpel,fear,0.5
madden,fear,0.5
cliff,fear,0.5
raving,fear,0.5
eeeek,fear,0.5
subvert,fear,0.5
hunting,fear,0.5
alcoholism,fear,0.5
brute,fear,0.5
derogation,anger,0.5
obstruct,anger,0.5
nobodycares,anger,0.5
rejects,anger,0.5
unruly,anger,0.5
crazy,anger,0.5
malpractice,anger,0.5
pang,surprise,0.5
spear,anger,0.5
infrequent,surprise,0.5
pontiff,happy,0.5
pious,happy,0.5
undying,happy,0.5
misbehavior,surprise,0.5
impurity,disgust,0.5
impeach,disgust,0.5
greed,disgust,0.5
mire,disgust,0.5
duress,disgust,0.5
bitterness,disgust,0.5
blight,disgust,0.5
dirt,disgust,0.5
banish,disgust,0.5
offense,disgust,0.5
bribery,disgust,0.5
tirade,disgust,0.5
polemic,disgust,0.5
jealousy,disgust,0.5
derision,disgust,0.5
screaming,disgust,0.5
taboo,disgust,0.5
shackle,disgust,0.5
flagrant,disgust,0.5
alive,happy,0.5
vindication,happy,0.5
infallibility,happy,0.5
gateway,happy,0.5
infinity,happy,0.5
treasure,happy,0.5
romantic,happy,0.5
personal,happy,0.5
related,happy,0.5
guru,happy,0.5
watchful,happy,0.5
indelible,happy,0.5
instruction,happy,0.5
superman,happy,0.5
nerds,happy,0.5
theft,disgust,0.5
info,happy,0.5
optimist,happy,0.5
warden,happy,0.5
birth,happy,0.5
religions,happy,0.5
backer,happy,0.5
synchronize,happy,0.5
darling,happy,0.5
doctrine,happy,0.5
guard,happy,0.5
retain,happy,0.5
timing,happy,0.5
majesty,happy,0.5
goblin,disgust,0.5
holyspirit,happy,0.5
remarkable,surprise,0.5
embarrassment,surprise,0.5
diversion,surprise,0.5
alertness,surprise,0.5
enliven,surprise,0.5
heroic,surprise,0.5
idolatry,disgust,0.5
confinement,fear,0.507
spouse,happy,0.507
intimately,happy,0.507
storm,anger,0.507
virgin,happy,0.508
shepherd,happy,0.508
enable,happy,0.508
patronage,happy,0.508
tolerance,happy,0.508
reward,happy,0.508
automatic,happy,0.508
admissible,happy,0.508
housewife,happy,0.508
custodian,happy,0.508
confessional,happy,0.508
philosopher,happy,0.508
venerable,happy,0.508
intact,happy,0.508
disfigured,anger,0.508
medical,happy,0.508
witchcraft,sad,0.508
vouch,happy,0.508
beautification,happy,0.508
lieutenant,happy,0.508
sovereign,happy,0.508
priest,happy,0.508
policy,happy,0.508
instruct,happy,0.508
courtship,happy,0.508
unsurpassed,happy,0.508
amour,happy,0.508
constable,happy,0.508
accolade,happy,0.508
diversity,happy,0.508
savor,happy,0.508
distress,disgust,0.508
resentment,disgust,0.508
disaster,disgust,0.508
pest,disgust,0.508
glut,disgust,0.508
prisoner,disgust,0.508
dreadfully,disgust,0.508
belittle,disgust,0.508
delirium,disgust,0.508
schizophrenia,disgust,0.508
distasteful,disgust,0.508
bombed,disgust,0.508
blob,disgust,0.508
crude,disgust,0.508
incurable,disgust,0.508
smelling,disgust,0.508
cheat,disgust,0.508
worthless,disgust,0.508
endemic,disgust,0.508
forgiving,happy,0.508
depression,fear,0.508
pop,surprise,0.508
unintentionally,surprise,0.508
swerve,surprise,0.508
transcendence,surprise,0.508
garish,surprise,0.508
luck,surprise,0.508
magnificent,surprise,0.508
rave,surprise,0.508
reflex,surprise,0.508
rejection,disgust,0.508
idiocy,disgust,0.508
banish,anger,0.509
sham,disgust,0.509
volunteer,happy,0.509
dictatorship,sad,0.509
complain,sad,0.509
regrettable,sad,0.509
insecure,sad,0.509
unrequited,sad,0.509
lose,sad,0.509
enmity,anger,0.51
repudiation,anger,0.51
accusation,anger,0.51
bane,anger,0.511
relationship,happy,0.514
daymade,happy,0.514
tussle,anger,0.514
godly,happy,0.514
marriage,happy,0.514
zen,happy,0.515
vivid,happy,0.515
complete,happy,0.515
thanking,happy,0.515
familytime,happy,0.515
cutie,happy,0.515
shining,happy,0.515
comfort,happy,0.515
kid,happy,0.515
leisure,happy,0.515
payday,happy,0.515
reunited,happy,0.515
spirit,happy,0.515
princely,happy,0.515
coronation,happy,0.515
animated,happy,0.515
newme,happy,0.515
kudos,happy,0.515
therapeutic,happy,0.515
hangry,anger,0.515
unkind,anger,0.515
roar,anger,0.515
bile,anger,0.515
poachers,anger,0.515
pow,anger,0.515
unleash,anger,0.515
chaos,anger,0.515
frustrating,anger,0.515
jerks,anger,0.515
poaching,anger,0.515
coercion,anger,0.515
victimized,anger,0.515
scold,anger,0.515
argumentation,anger,0.515
grump,anger,0.515
unforgiving,anger,0.515
sorcery,fear,0.516
fang,fear,0.516
badfeeling,fear,0.516
unthinkable,fear,0.516
chased,fear,0.516
tortious,anger,0.516
detainee,fear,0.516
enforce,fear,0.516
troublesome,fear,0.516
incite,fear,0.516
suspect,fear,0.516
tortious,disgust,0.516
gutter,disgust,0.516
eradication,disgust,0.516
dishonor,disgust,0.516
plight,fear,0.516
busted,fear,0.516
harshness,fear,0.516
exile,fear,0.516
shriek,fear,0.516
growl,fear,0.516
revulsion,fear,0.516
oppress,fear,0.516
smite,fear,0.516
conspirator,fear,0.516
insidious,fear,0.516
emaciated,fear,0.516
palsy,fear,0.516
embolism,fear,0.516
biopsy,fear,0.516
plunder,fear,0.516
sting,fear,0.516
exacerbation,fear,0.516
darkness,fear,0.516
relapse,fear,0.516
foreboding,fear,0.516
convict,disgust,0.516
grievous,fear,0.516
robber,fear,0.516
intolerance,fear,0.516
helplessness,fear,0.516
deplorable,disgust,0.516
stink,disgust,0.516
defraud,disgust,0.516
jingle,happy,0.516
remarkable,happy,0.516
silly,happy,0.516
broil,anger,0.516
cretins,anger,0.516
distrust,anger,0.516
disrespectful,anger,0.516
sump,disgust,0.516
zest,happy,0.516
depravity,anger,0.516
divorce,anger,0.516
dishonest,anger,0.516
prisoner,anger,0.516
duress,anger,0.516
inimical,anger,0.516
grrr,anger,0.516
idiotic,anger,0.516
treason,anger,0.516
venting,anger,0.516
betray,disgust,0.516
aspire,happy,0.516
pride,happy,0.516
grim,disgust,0.516
remains,disgust,0.516
cringe,disgust,0.516
daemon,disgust,0.516
mite,disgust,0.516
vulture,disgust,0.516
criticize,anger,0.516
rob,disgust,0.516
noschool,happy,0.516
strengthening,happy,0.516
greeted,happy,0.516
presents,happy,0.516
succeed,happy,0.516
abundant,happy,0.516
fancy,happy,0.516
resplendent,happy,0.516
almighty,happy,0.516
brotherly,happy,0.516
powerful,happy,0.516
pernicious,fear,0.516
degrade,disgust,0.516
fully,happy,0.516
tickle,surprise,0.516
vegetative,sad,0.516
hideous,sad,0.516
accident,sad,0.516
stifled,sad,0.516
blindness,sad,0.516
dumps,sad,0.516
misfortune,sad,0.516
weakness,sad,0.516
displeased,sad,0.516
delusion,sad,0.516
decayed,sad,0.516
elimination,sad,0.516
tender,happy,0.516
freely,happy,0.516
committee,happy,0.516
compliment,happy,0.516
deserve,happy,0.516
framework,happy,0.516
passwords,happy,0.516
association,happy,0.516
management,happy,0.516
tribunal,happy,0.516
obstetrician,happy,0.516
minded,happy,0.516
sentinel,happy,0.516
howl,surprise,0.516
chance,surprise,0.516
stealthily,surprise,0.516
reverie,happy,0.516
predominant,happy,0.516
organization,happy,0.516
remedy,happy,0.516
amen,happy,0.516
nobleman,happy,0.516
enchanted,happy,0.516
inform,happy,0.516
measure,happy,0.516
credit,happy,0.516
advent,happy,0.516
pray,happy,0.516
perpetuity,happy,0.516
confession,happy,0.516
formative,happy,0.516
yelp,surprise,0.516
wither,sad,0.516
sore,sad,0.516
unlucky,sad,0.516
unfriendly,sad,0.516
sequestration,sad,0.516
sin,sad,0.516
stripped,sad,0.516
retard,sad,0.516
leavemealone,anger,0.517
deportation,fear,0.517
captive,fear,0.517
ridicule,sad,0.518
cult,fear,0.518
anxious,fear,0.518
defunct,sad,0.518
feeling,happy,0.518
unlawful,fear,0.519
crazy,fear,0.519
commendable,happy,0.519
annoy,anger,0.52
suicide,anger,0.521
laurels,happy,0.521
snuggles,happy,0.522
abandonment,surprise,0.523
unimpeached,happy,0.523
winning,happy,0.523
adoration,happy,0.523
graduation,happy,0.523
honeymoon,happy,0.523
dictionary,happy,0.523
notable,happy,0.523
paragon,happy,0.523
improvement,happy,0.523
hug,happy,0.523
chaplain,happy,0.523
commonwealth,happy,0.523
celebration,happy,0.523
elevation,happy,0.523
ourselves,happy,0.523
account,happy,0.523
salutary,happy,0.523
unbroken,happy,0.523
taught,happy,0.523
correctness,happy,0.523
captivate,happy,0.523
award,happy,0.523
liberate,happy,0.523
connoisseur,happy,0.523
countenance,happy,0.523
neighbor,happy,0.523
laureate,happy,0.523
nobility,happy,0.523
ratify,happy,0.523
benedictory,happy,0.523
mistress,disgust,0.523
avarice,disgust,0.523
disparaging,disgust,0.523
intolerance,disgust,0.523
disgraced,disgust,0.523
derogation,disgust,0.523
improvise,surprise,0.523
wonder,surprise,0.523
scorpion,surprise,0.523
immediacy,surprise,0.523
rejoice,surprise,0.523
majestic,surprise,0.523
victimized,surprise,0.523
liberate,surprise,0.523
incarceration,disgust,0.523
undiscovered,surprise,0.523
rubbish,disgust,0.523
accusation,disgust,0.523
blighted,disgust,0.523
veer,surprise,0.523
bear,fear,0.524
hiding,fear,0.524
blood,fear,0.525
defenseless,sad,0.526
approbation,happy,0.527
prison,anger,0.529
hot,anger,0.529
disable,sad,0.529
suspense,fear,0.529
trespass,anger,0.529
cantstandit,anger,0.529
faithful,happy,0.529
treat,happy,0.529
renegade,anger,0.529
unjustifiable,anger,0.53
unpleasant,sad,0.53
forgotten,sad,0.53
grievance,sad,0.53
relapse,sad,0.53
offender,anger,0.53
bigoted,anger,0.53
dictatorial,anger,0.53
perversion,anger,0.53
tackled,anger,0.53
fiesty,anger,0.53
glimmer,happy,0.53
blossom,happy,0.53
elegant,happy,0.53
warmth,happy,0.53
unjust,anger,0.53
dissonance,anger,0.53
illumination,happy,0.53
mastery,happy,0.53
welcomed,happy,0.53
hassle,anger,0.53
embarrassment,sad,0.531
concealed,surprise,0.531
prisoner,sad,0.531
homesick,sad,0.531
disgust,sad,0.531
fooled,sad,0.531
embolism,sad,0.531
analyst,happy,0.531
allegation,anger,0.531
belittle,anger,0.531
whip,anger,0.531
degeneracy,anger,0.531
confinement,anger,0.531
reckless,anger,0.531
dispute,anger,0.531
uprising,anger,0.531
communism,anger,0.531
intruder,anger,0.531
confined,sad,0.531
attacking,sad,0.531
epitaph,sad,0.531
sick,sad,0.531
dependent,happy,0.531
seal,happy,0.531
bride,happy,0.531
refuge,happy,0.531
retirement,happy,0.531
answerable,happy,0.531
deed,happy,0.531
school,happy,0.531
omniscient,happy,0.531
deliverance,happy,0.531
hospital,happy,0.531
transcript,happy,0.531
center,happy,0.531
strive,happy,0.531
terms,happy,0.531
verily,happy,0.531
rescue,happy,0.531
immunization,happy,0.531
heavens,happy,0.531
sponsor,happy,0.531
candid,happy,0.531
unbridled,anger,0.531
requiem,sad,0.531
inseparable,happy,0.531
ballot,happy,0.531
dispossessed,sad,0.531
inimical,sad,0.531
antisocial,sad,0.531
outburst,sad,0.531
neurosis,sad,0.531
sorely,sad,0.531
forfeiture,sad,0.531
tarnish,sad,0.531
theft,sad,0.531
penance,sad,0.531
edification,happy,0.531
ache,sad,0.531
console,sad,0.531
inflict,sad,0.531
disparity,sad,0.531
fearfully,surprise,0.531
snag,surprise,0.531
sensation,surprise,0.531
affront,surprise,0.531
cradle,happy,0.531
doubtless,happy,0.531
sullen,sad,0.531
prejudicial,anger,0.531
accompaniment,happy,0.531
twofaced,anger,0.531
firstborn,happy,0.531
vitality,happy,0.531
matrimony,happy,0.531
liberation,happy,0.531
holiness,happy,0.531
money,happy,0.531
confident,happy,0.531
music,happy,0.531
exacerbation,anger,0.531
penetration,fear,0.531
jarring,fear,0.531
buried,fear,0.531
endocarditis,fear,0.531
carnivorous,fear,0.531
broken,fear,0.531
eek,fear,0.531
manifestation,fear,0.531
rebellion,fear,0.531
swastika,fear,0.531
atherosclerosis,fear,0.531
subjugation,fear,0.531
rainbow,happy,0.531
slave,fear,0.531
serene,happy,0.531
soar,happy,0.531
travesty,disgust,0.531
brawl,disgust,0.531
disintegrate,disgust,0.531
burnt,disgust,0.531
intolerant,disgust,0.531
condescension,disgust,0.531
aberration,disgust,0.531
hydrocephalus,disgust,0.531
painful,disgust,0.531
lying,disgust,0.531
blasphemous,disgust,0.531
withered,disgust,0.531
intrusive,disgust,0.531
hanging,disgust,0.531
blemish,disgust,0.531
destructive,disgust,0.531
smuggler,disgust,0.531
neurotic,disgust,0.531
ruined,disgust,0.531
bridal,happy,0.531
fab,happy,0.531
dayoff,happy,0.531
soothing,happy,0.531
inspirational,happy,0.531
frenzied,fear,0.531
banger,surprise,0.531
punish,fear,0.531
expedient,happy,0.531
manipulation,fear,0.531
fraternal,happy,0.531
jest,surprise,0.531
leeches,fear,0.531
bacterium,fear,0.531
incursion,fear,0.531
wrangling,fear,0.531
disembodied,fear,0.531
stalk,fear,0.531
theft,fear,0.531
freakout,fear,0.531
stressed,fear,0.531
stormy,fear,0.531
evergreen,happy,0.531
unstable,fear,0.531
abandon,fear,0.531
harbinger,fear,0.531
failing,fear,0.531
shaking,fear,0.531
captor,fear,0.531
superstitious,fear,0.531
helpless,fear,0.531
saber,fear,0.531
lawlessness,fear,0.531
hopelessness,fear,0.531
impotence,fear,0.531
cowardly,fear,0.531
distrust,fear,0.531
deserted,fear,0.531
flares,anger,0.532
rejection,fear,0.533
incendiary,anger,0.533
revel,happy,0.534
ridicule,anger,0.534
fled,fear,0.534
abandoned,fear,0.534
deterioration,sad,0.536
lethal,disgust,0.536
badness,anger,0.536
assailant,sad,0.536
juststop,anger,0.537
wellness,happy,0.537
mob,anger,0.538
undertaker,sad,0.538
phantom,fear,0.538
architecture,happy,0.539
instructions,happy,0.539
eager,happy,0.539
perfect,happy,0.539
uncensured,happy,0.539
admitting,happy,0.539
inoculation,happy,0.539
inimitable,happy,0.539
recovery,happy,0.539
antidote,happy,0.539
reinforcements,happy,0.539
watchman,happy,0.539
regularity,happy,0.539
immovable,happy,0.539
obvious,happy,0.539
obliging,happy,0.539
tantamount,happy,0.539
proctor,happy,0.539
ensemble,happy,0.539
responsive,happy,0.539
applause,happy,0.539
obedience,happy,0.539
interrupt,surprise,0.539
cheer,surprise,0.539
celebration,surprise,0.539
insult,surprise,0.539
punch,surprise,0.539
marvel,surprise,0.539
lucky,surprise,0.539
institute,happy,0.539
define,happy,0.539
delightful,happy,0.539
chronicle,happy,0.539
badness,fear,0.539
treason,surprise,0.539
illusion,surprise,0.539
fatty,disgust,0.539
repellant,disgust,0.539
repudiation,disgust,0.539
greedy,disgust,0.539
pig,disgust,0.539
infidelity,disgust,0.539
disgrace,disgust,0.539
imprisoned,disgust,0.539
gob,disgust,0.539
sneer,disgust,0.539
exalted,happy,0.539
shame,disgust,0.539
thrash,disgust,0.539
relevant,happy,0.539
stamina,happy,0.539
choices,happy,0.539
chastity,happy,0.539
forefathers,happy,0.539
sloth,disgust,0.539
majority,happy,0.539
psalms,happy,0.539
aspiring,happy,0.539
lunge,surprise,0.539
drunken,disgust,0.539
liar,disgust,0.539
jealous,disgust,0.539
violation,surprise,0.539
dismay,anger,0.54
grandchildren,happy,0.54
cemetery,fear,0.541
sanctuary,happy,0.541
obstructive,anger,0.542
irreconcilable,anger,0.543
resistance,anger,0.543
savior,happy,0.543
discontent,sad,0.543
entangled,anger,0.544
robbery,anger,0.544
grumble,anger,0.544
outcry,anger,0.544
sting,anger,0.544
freshstart,happy,0.544
free,happy,0.544
weakly,sad,0.544
aching,sad,0.544
retribution,fear,0.545
uprising,fear,0.545
wanker,anger,0.545
humiliate,anger,0.545
groan,sad,0.545
encouragement,happy,0.545
recreation,happy,0.545
gush,happy,0.545
argument,anger,0.545
callous,anger,0.545
heated,anger,0.545
adversary,anger,0.545
antagonist,anger,0.545
prejudice,anger,0.545
tackle,anger,0.545
menace,anger,0.545
annoyin,anger,0.545
ruined,anger,0.545
skirmish,anger,0.545
conspirator,anger,0.545
resentful,anger,0.545
dark,sad,0.545
incrimination,sad,0.545
god,happy,0.545
concussion,sad,0.545
dance,happy,0.545
foul,anger,0.545
sublime,happy,0.545
nefarious,sad,0.546
charmed,happy,0.546
hadenough,anger,0.546
stolen,anger,0.546
burglar,disgust,0.547
deleterious,disgust,0.547
coercion,disgust,0.547
suffocating,disgust,0.547
bitterly,disgust,0.547
miserable,disgust,0.547
condemnation,disgust,0.547
completion,happy,0.547
lifted,happy,0.547
zeal,happy,0.547
good,happy,0.547
slur,disgust,0.547
sty,disgust,0.547
ejaculation,surprise,0.547
hydrocephalus,sad,0.547
abhor,fear,0.547
thief,fear,0.547
mad,fear,0.547
flood,fear,0.547
scorpion,fear,0.547
overthrow,fear,0.547
asylum,fear,0.547
communism,fear,0.547
goodmorning,happy,0.547
pity,sad,0.547
purgatory,disgust,0.547
imissyou,sad,0.547
chagrin,sad,0.547
discourage,sad,0.547
bomber,sad,0.547
surrendering,sad,0.547
unfulfilled,sad,0.547
hanging,sad,0.547
memorial,sad,0.547
plague,sad,0.547
malaria,sad,0.547
malaise,sad,0.547
unkind,sad,0.547
pillage,disgust,0.547
readiness,happy,0.547
malevolent,disgust,0.547
securities,happy,0.547
proud,happy,0.547
eyewitness,happy,0.547
reject,sad,0.547
bummed,sad,0.547
shot,sad,0.547
glum,sad,0.547
isolated,sad,0.547
resignation,sad,0.547
shun,sad,0.547
invocation,happy,0.547
disillusionment,sad,0.547
illuminate,happy,0.547
heart,happy,0.547
celestial,happy,0.547
gift,happy,0.547
bonus,happy,0.547
vacation,happy,0.547
gifts,happy,0.547
mistletoe,happy,0.547
confidence,happy,0.547
astonishment,happy,0.547
elite,happy,0.547
liberty,happy,0.547
temperate,happy,0.547
provide,happy,0.547
anathema,disgust,0.547
vesicular,disgust,0.547
attacking,disgust,0.547
ogre,disgust,0.547
illuminate,surprise,0.547
rejoice,happy,0.547
beware,fear,0.547
forgive,happy,0.547
durable,happy,0.547
statement,happy,0.547
promises,happy,0.547
reinforcement,happy,0.547
commanding,happy,0.547
prevalent,happy,0.547
salvation,happy,0.547
convent,happy,0.547
impenetrable,happy,0.547
cheer,happy,0.547
law,happy,0.547
independence,happy,0.547
heritage,happy,0.547
engaging,happy,0.547
friendly,happy,0.547
thief,disgust,0.547
talons,fear,0.547
daughter,happy,0.547
brigade,fear,0.547
absence,sad,0.547
siren,fear,0.547
precarious,fear,0.547
neuralgia,fear,0.547
scandal,fear,0.547
defenseless,fear,0.547
gonorrhea,fear,0.547
outburst,fear,0.547
enmity,fear,0.547
ailing,fear,0.547
apparition,fear,0.547
adder,fear,0.547
senile,fear,0.547
samurai,fear,0.547
jeopardize,fear,0.547
disparity,anger,0.547
coercion,fear,0.547
shrill,anger,0.547
firearms,anger,0.547
outcry,fear,0.547
sin,anger,0.547
fustrated,anger,0.547
ire,anger,0.547
confine,anger,0.547
deceive,anger,0.547
arghhhh,anger,0.547
punishment,anger,0.547
violation,anger,0.547
preposterous,anger,0.547
disgraceful,anger,0.547
darkside,anger,0.547
frustrates,anger,0.547
overbearing,anger,0.547
misery,anger,0.547
rebel,anger,0.547
cannon,fear,0.547
bondage,fear,0.547
deformity,fear,0.547
winner,surprise,0.547
insanity,fear,0.547
prudent,happy,0.547
conciliation,happy,0.547
govern,happy,0.547
registry,happy,0.547
ancestral,happy,0.547
tantalizing,surprise,0.547
rarity,surprise,0.547
daze,surprise,0.547
needles,fear,0.547
rescue,surprise,0.547
expulsion,fear,0.547
heroism,surprise,0.547
growling,fear,0.547
thwart,surprise,0.547
unbridled,surprise,0.547
derogation,fear,0.547
plunge,fear,0.547
noxious,fear,0.547
appendicitis,fear,0.547
vulnerability,fear,0.548
decry,anger,0.548
offensive,anger,0.549
blackmail,anger,0.55
sunshine,happy,0.551
comfy,happy,0.551
defiance,anger,0.552
eagerness,happy,0.552
closeness,happy,0.552
faithfulness,happy,0.553
gracias,happy,0.554
defender,happy,0.555
greatness,happy,0.555
exalt,happy,0.555
coach,happy,0.555
coalesce,happy,0.555
vote,happy,0.555
impartial,happy,0.555
midwife,happy,0.555
mediate,happy,0.555
cultivate,happy,0.555
veteran,happy,0.555
congruence,happy,0.555
providing,happy,0.555
reunion,happy,0.555
reconciliation,happy,0.555
zany,surprise,0.555
privacy,happy,0.555
thaumaturgy,surprise,0.555
conjure,surprise,0.555
flabby,disgust,0.555
odious,disgust,0.555
segregate,disgust,0.555
slayer,disgust,0.555
atrophy,disgust,0.555
coward,disgust,0.555
insufferable,disgust,0.555
arsenic,disgust,0.555
patience,happy,0.555
whim,surprise,0.555
crescendo,surprise,0.555
meditate,happy,0.555
ambulance,happy,0.555
physicist,happy,0.555
inclusion,happy,0.555
buddy,happy,0.555
foresight,happy,0.555
intuition,happy,0.555
destined,happy,0.555
discriminating,disgust,0.555
varicella,disgust,0.555
collusion,disgust,0.555
unattractive,disgust,0.555
smite,sad,0.555
wickedness,disgust,0.555
distaste,disgust,0.555
ridicule,disgust,0.555
robbery,disgust,0.555
threatening,disgust,0.555
bloody,disgust,0.555
betrothed,happy,0.555
beastly,disgust,0.555
constant,happy,0.555
restorative,happy,0.555
worship,happy,0.555
influential,happy,0.555
auditor,happy,0.555
discretion,happy,0.555
prophet,happy,0.555
precedence,happy,0.555
grievance,anger,0.556
ticked,anger,0.556
cruising,happy,0.556
martyr,sad,0.556
masochism,anger,0.556
grab,anger,0.557
stomped,anger,0.557
decay,fear,0.557
affliction,fear,0.557
autopsy,fear,0.557
disable,fear,0.558
departed,sad,0.558
hopeful,happy,0.559
intimidation,fear,0.559
disturbed,anger,0.559
home,happy,0.559
subjugation,anger,0.559
occult,fear,0.559
dreams,happy,0.559
perpetrator,fear,0.56
worstfeeling,fear,0.56
sin,fear,0.56
conflagration,anger,0.561
banshee,anger,0.561
newyear,happy,0.561
cross,anger,0.561
favorable,happy,0.561
tenderness,happy,0.561
freedom,happy,0.561
masterpiece,happy,0.561
bless,happy,0.561
shatter,anger,0.561
fits,anger,0.561
rave,anger,0.561
hurt,anger,0.561
betrayal,anger,0.561
jeopardize,anger,0.561
dissension,anger,0.561
grating,anger,0.561
thief,anger,0.561
uncontrollable,anger,0.561
idiots,anger,0.561
devastating,anger,0.561
unsafe,fear,0.561
punitive,sad,0.562
pauper,sad,0.562
tyranny,sad,0.562
resentment,sad,0.562
infliction,sad,0.562
rejection,sad,0.562
deceive,sad,0.562
shipwreck,sad,0.562
comatose,sad,0.562
dismal,sad,0.562
expire,sad,0.562
upset,sad,0.562
deceitful,sad,0.562
injury,sad,0.562
tomb,sad,0.562
urn,sad,0.562
flog,sad,0.562
runaway,sad,0.562
sadday,sad,0.562
endocarditis,sad,0.562
pessimist,sad,0.562
deceit,sad,0.562
autopsy,sad,0.562
worsening,sad,0.562
worrying,sad,0.562
anathema,sad,0.562
spotless,happy,0.562
hero,happy,0.562
banished,fear,0.562
apprehend,fear,0.562
pitfall,fear,0.562
vanished,fear,0.562
distressing,fear,0.562
incubus,fear,0.562
appalling,fear,0.562
mange,fear,0.562
martyr,fear,0.562
purge,fear,0.562
sacrifices,fear,0.562
thrash,fear,0.562
overpowering,fear,0.562
risky,fear,0.562
lawsuit,fear,0.562
martyrdom,fear,0.562
confine,fear,0.562
eeek,fear,0.562
grave,fear,0.562
evasion,fear,0.562
freak,fear,0.562
hunter,fear,0.562
inflict,fear,0.562
corrupting,fear,0.562
rheumatism,sad,0.562
jerk,surprise,0.562
fascinate,surprise,0.562
ecstatic,surprise,0.562
reward,surprise,0.562
reappear,surprise,0.562
uncover,surprise,0.562
nefarious,surprise,0.562
polio,fear,0.562
punishing,fear,0.562
ulcer,fear,0.562
travesty,fear,0.562
jitters,fear,0.562
deterioration,fear,0.562
worries,fear,0.562
impending,fear,0.562
syncope,fear,0.562
misfortune,fear,0.562
gunpowder,fear,0.562
risk,fear,0.562
degrading,fear,0.562
duel,fear,0.562
prisoner,fear,0.562
masks,fear,0.562
afflict,fear,0.562
lovemaking,happy,0.562
pertinent,happy,0.562
concordance,happy,0.562
admit,happy,0.562
miracle,happy,0.562
insight,happy,0.562
treasurer,happy,0.562
admirable,happy,0.562
relax,happy,0.562
prevail,happy,0.562
superstar,happy,0.562
yey,happy,0.562
prosper,happy,0.562
surprise,happy,0.562
revels,happy,0.562
sunny,happy,0.562
worthwhile,happy,0.562
humorous,happy,0.562
liking,happy,0.562
sweets,happy,0.562
succeeding,happy,0.562
hugs,happy,0.562
jury,happy,0.562
compensate,happy,0.562
incrimination,fear,0.562
powerless,fear,0.562
frankness,happy,0.562
pleasant,happy,0.562
apostolic,happy,0.562
jurist,happy,0.562
fort,happy,0.562
devout,happy,0.562
vigorous,happy,0.562
congregation,happy,0.562
ordination,happy,0.562
save,happy,0.562
curable,happy,0.562
cohesion,happy,0.562
